platform,subject,trial,correct,choice,key,rt,accuracy,outcome
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,87,2,2.0,39.0,0.401,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,88,2,2.0,39.0,3.22,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,89,2,2.0,39.0,0.54,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,90,2,2.0,39.0,0.611,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,2,1.0,38.0,2.022,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,2,2,0.0,37.0,0.555,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,3,2,2.0,39.0,0.3,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,4,2,2.0,39.0,0.373,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,5,2,2.0,39.0,0.292,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,6,2,1.0,38.0,0.245,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,7,2,2.0,39.0,0.085,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,8,2,2.0,39.0,0.3,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,9,2,0.0,37.0,0.11,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,10,2,2.0,39.0,0.02,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,11,2,2.0,39.0,0.3,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,12,2,2.0,39.0,0.525,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,13,2,2.0,39.0,0.309,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,14,2,1.0,38.0,0.158,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,15,2,2.0,39.0,0.044,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,16,0,2.0,39.0,0.309,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,17,0,0.0,37.0,0.253,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,18,0,0.0,37.0,0.093,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,19,0,0.0,37.0,0.309,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,20,0,0.0,37.0,0.365,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,21,0,0.0,37.0,0.364,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,22,0,2.0,39.0,0.309,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,23,0,0.0,37.0,0.11,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,24,0,1.0,38.0,0.005,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,25,0,0.0,37.0,0.323,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,26,0,0.0,37.0,0.284,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,27,0,0.0,37.0,0.317,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,28,0,0.0,37.0,0.364,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,29,0,2.0,39.0,0.349,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,30,0,1.0,38.0,0.396,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,31,1,0.0,37.0,0.105,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,32,1,0.0,37.0,0.193,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,33,1,0.0,37.0,0.182,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,34,1,0.0,37.0,0.278,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,35,1,1.0,38.0,0.014,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,36,1,1.0,38.0,0.277,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,37,1,1.0,38.0,0.278,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,38,1,1.0,38.0,0.277,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,39,1,1.0,38.0,0.237,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,40,1,1.0,38.0,0.244,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,41,1,1.0,38.0,0.269,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,42,1,1.0,38.0,0.134,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,43,1,1.0,38.0,0.325,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,44,1,1.0,38.0,0.205,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,45,1,1.0,38.0,0.126,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,46,2,1.0,38.0,0.292,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,47,2,1.0,38.0,0.213,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,48,2,1.0,38.0,0.245,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,49,2,2.0,39.0,0.035,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,50,2,2.0,39.0,0.158,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,51,2,2.0,39.0,0.149,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,52,2,2.0,39.0,0.26,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,53,2,2.0,39.0,0.214,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,54,2,2.0,39.0,0.292,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,55,2,2.0,39.0,0.237,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,56,2,2.0,39.0,0.165,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,57,2,2.0,39.0,0.22,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,58,2,2.0,39.0,0.054,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,59,2,2.0,39.0,0.172,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,60,2,2.0,39.0,0.124,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,61,0,2.0,39.0,0.062,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,62,0,2.0,39.0,0.269,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,63,0,2.0,39.0,0.11,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,64,0,2.0,39.0,0.22,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,65,0,0.0,37.0,0.029,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,66,0,0.0,37.0,0.373,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,67,0,0.0,37.0,0.181,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,68,0,0.0,37.0,0.187,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,69,0,0.0,37.0,0.07,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,70,0,0.0,37.0,0.156,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,71,0,0.0,37.0,0.181,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,72,0,0.0,37.0,0.046,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,73,0,0.0,37.0,0.19,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,74,0,0.0,37.0,0.214,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,75,0,0.0,37.0,0.236,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,76,1,0.0,37.0,0.385,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,77,1,0.0,37.0,0.201,0.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,78,1,0.0,37.0,0.229,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,79,1,0.0,37.0,0.126,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,80,1,1.0,38.0,0.003,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,81,1,1.0,38.0,0.205,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,82,1,1.0,38.0,0.18,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,83,1,1.0,38.0,0.037,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,84,1,1.0,38.0,0.077,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,85,1,1.0,38.0,0.222,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,86,1,1.0,38.0,0.077,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,87,1,1.0,38.0,0.116,1.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,88,1,1.0,38.0,0.222,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,89,1,1.0,38.0,0.116,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,90,1,1.0,38.0,0.439,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,1,2,2.0,39.0,1.359,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,2,2,2.0,39.0,0.604,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,3,2,2.0,39.0,0.45,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,4,2,2.0,39.0,0.349,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,5,2,2.0,39.0,0.46,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,6,2,2.0,39.0,0.396,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,7,2,2.0,39.0,0.356,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,8,2,2.0,39.0,0.372,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,9,2,2.0,39.0,0.554,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,10,2,2.0,39.0,0.348,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,11,2,2.0,39.0,0.396,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,12,2,2.0,39.0,0.261,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,13,2,1.0,38.0,0.308,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,14,2,0.0,37.0,0.228,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,15,2,2.0,39.0,0.26,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,16,0,2.0,39.0,0.308,0.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,17,0,2.0,39.0,0.284,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,18,0,2.0,39.0,0.243,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,19,0,2.0,39.0,0.228,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,20,0,1.0,38.0,0.276,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,21,0,0.0,37.0,0.243,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,22,0,0.0,37.0,0.252,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,23,0,0.0,37.0,0.292,1.0,1.0
